序号,UID,测试名称,指标名称,函数,维度,错误信息,分类,状态
13369,a3715580e06acd6a,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13370,a005c8c6f937f9ee,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13371,8f41e1716e420a7b,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13372,7e2ab0e656bb2be5,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13373,65f7105a1319b5f6,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13374,c563ea5fced42cb,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13375,f4ce8d222f5ce7e1,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13376,599a4fa76a22bb0f,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13377,5192011e7109defb,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13378,d973544256aac2f1,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13379,f528cb6cdcac3711,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13380,69313b2bcfe2eff1,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13381,1289694ef01f2993,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,callTopicDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13382,a4b5195248fe646d,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,callTopicId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13383,c346072c8c1baec0,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13384,6b7483e5739fc11e,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13385,2d83e87d3ddbe5c0,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13386,2e2c3359a6dc995d,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13387,3f69a022db03677e,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13388,83133903591e0,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13389,d7f61ecfbf60013c,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13390,3648938b00822501,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13391,a04a2054b08ba43a,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13392,bb576f29c7ac5a5e,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13393,bd0344930882cfae,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13394,34cc847795c7d468,testTitanQueryVsQueryService,one.service.interface.callTopic.requestPerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13395,b46fbb717a67b70,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13396,b6b286ebb2b2b312,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13397,2b877eafbffd73e7,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,callTopicDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13398,83c532968e99ff6a,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,callTopicId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13399,5d4f37134e84e402,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13400,53995fb9ad3098b3,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13401,6723a3cbe57ec1dd,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13402,f829fd2ec974d444,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13403,e83d805619a61e7b,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13404,efecc0292a7b01c5,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13405,f15b1bf3c6da577c,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13406,b0501878fbfe3ed4,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13407,ffecc68359902c73,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13408,b0639bde76650fd1,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13409,f98b8731f6ebbe9d,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13410,95ad3a3d93cdd0cf,testTitanQueryVsQueryService,one.service.interface.callTopic.msgSizePerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13411,deea6dd67dce14c2,testTitanQueryVsQueryService,one.service.interface.callTopic.msgCountPerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13412,b180952cc65f48d1,testTitanQueryVsQueryService,one.service.interface.callTopic.msgCountPerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13413,7f5cec6f97acdfac,testTitanQueryVsQueryService,one.service.interface.callTopic.msgCountPerMinute,callTopicDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13414,e470edfe82670355,testTitanQueryVsQueryService,one.service.interface.callTopic.msgCountPerMinute,callTopicId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13415,ce9ed98dd9461728,testTitanQueryVsQueryService,one.service.interface.callTopic.msgCountPerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13416,e50d3d86110d9f13,testTitanQueryVsQueryService,one.service.interface.callTopic.msgCountPerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13417,f3d0693b40ff4aaf,testTitanQueryVsQueryService,one.service.interface.callTopic.msgCountPerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13418,60466d459ed7c97e,testTitanQueryVsQueryService,one.service.interface.callTopic.msgCountPerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13419,a09b783b8fb83c71,testTitanQueryVsQueryService,one.service.interface.callTopic.msgCountPerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
